date,SLEV
2019-02-06 4:00,0.84
2019-02-06 5:00,0.51
2019-02-06 6:00,0.44
2019-02-06 7:00,0.59
2019-02-06 8:00,0.87
2019-02-06 9:00,1.29
2019-02-06 10:00,1.78
2019-02-06 11:00,2.21
2019-02-06 12:00,2.39
2019-02-06 13:00,2.26
2019-02-06 14:00,1.98
2019-02-06 15:00,1.57
2019-02-06 16:00,1.09
2019-02-06 17:00,0.67
2019-02-06 18:00,0.44
2019-02-06 19:00,0.47
2019-02-06 20:00,0.66
2019-02-06 21:00,0.97
2019-02-06 22:00,1.41
2019-02-06 23:00,1.84
2019-02-07 0:00,2.07
2019-02-07 1:00,2
2019-02-07 2:00,1.76
2019-02-07 3:00,1.41
2019-02-07 4:00,0.96
2019-02-07 5:00,0.55
2019-02-07 6:00,0.33
2019-02-07 7:00,0.41
2019-02-07 8:00,0.65
2019-02-07 9:00,1
2019-02-07 10:00,1.45
2019-02-07 11:00,1.93
2019-02-07 12:00,2.24
2019-02-07 13:00,2.27
2019-02-07 14:00,2.05
2019-02-07 15:00,1.71
2019-02-07 16:00,1.27
2019-02-07 17:00,0.79
2019-02-07 18:00,0.43
2019-02-07 19:00,0.34
2019-02-07 20:00,0.5
2019-02-07 21:00,0.77
2019-02-07 22:00,1.15
2019-02-07 23:00,1.58
2019-02-08 0:00,1.93
2019-02-08 1:00,2.01
2019-02-08 2:00,1.87
2019-02-08 3:00,1.59
2019-02-08 4:00,1.2
2019-02-08 5:00,0.75
2019-02-08 6:00,0.41
2019-02-08 7:00,0.33
2019-02-08 8:00,0.48
2019-02-08 9:00,0.75
2019-02-08 10:00,1.13
2019-02-08 11:00,1.6
2019-02-08 12:00,2.02
2019-02-08 13:00,2.21
2019-02-08 14:00,2.1
2019-02-08 15:00,1.83
2019-02-08 16:00,1.47
2019-02-08 17:00,1.05
2019-02-08 18:00,0.62
2019-02-08 19:00,0.39
2019-02-08 20:00,0.47
2019-02-08 21:00,0.68
2019-02-08 22:00,1.02
2019-02-08 23:00,1.46
2019-02-09 0:00,1.86
2019-02-09 1:00,2.1
2019-02-09 2:00,2.09
2019-02-09 3:00,1.9
2019-02-09 4:00,1.59
2019-02-09 5:00,1.18
2019-02-09 6:00,0.8
2019-02-09 7:00,0.6
2019-02-09 8:00,0.68
2019-02-09 9:00,0.88
2019-02-09 10:00,1.2
2019-02-09 11:00,1.63
2019-02-09 12:00,2.1
2019-02-09 13:00,2.4
2019-02-09 14:00,2.42
2019-02-09 15:00,2.25
2019-02-09 16:00,2
2019-02-09 17:00,1.67
2019-02-09 18:00,1.29
2019-02-09 19:00,0.98
2019-02-09 20:00,0.9
2019-02-09 21:00,1.05
2019-02-09 22:00,1.33
2019-02-09 23:00,1.68
2019-02-10 0:00,2.1
2019-02-10 1:00,2.43
2019-02-10 2:00,2.56
2019-02-10 3:00,2.47
2019-02-10 4:00,2.24
2019-02-10 5:00,1.91
2019-02-10 6:00,1.54
2019-02-10 7:00,1.26
2019-02-10 8:00,1.14
2019-02-10 9:00,1.25
2019-02-10 10:00,1.47
2019-02-10 11:00,1.82
2019-02-10 12:00,2.22
2019-02-10 13:00,2.57
2019-02-10 14:00,2.73
2019-02-10 15:00,2.67
2019-02-10 16:00,2.46
2019-02-10 17:00,2.09
2019-02-10 18:00,1.66
2019-02-10 19:00,1.24
2019-02-10 20:00,0.96
2019-02-10 21:00,0.97
2019-02-10 22:00,1.15
2019-02-10 23:00,1.41
2019-02-11 0:00,1.76
2019-02-11 1:00,2.15
2019-02-11 2:00,2.44
2019-02-11 3:00,2.46
2019-02-11 4:00,2.3
2019-02-11 5:00,2.05
2019-02-11 6:00,1.74
2019-02-11 7:00,1.43
2019-02-11 8:00,1.2
2019-02-11 9:00,1.17
2019-02-11 10:00,1.32
2019-02-11 11:00,1.56
2019-02-11 12:00,1.85
2019-02-11 13:00,2.2
2019-02-11 14:00,2.47
2019-02-11 15:00,2.51
2019-02-11 16:00,2.39
2019-02-11 17:00,2.14
2019-02-11 18:00,1.83
2019-02-11 19:00,1.46
2019-02-11 20:00,1.16
2019-02-11 21:00,1.04
2019-02-11 22:00,1.08
2019-02-11 23:00,1.23
2019-02-12 0:00,1.47
2019-02-12 1:00,1.81
2019-02-12 2:00,2.12
2019-02-12 3:00,2.27
2019-02-12 4:00,2.21
2019-02-12 5:00,2.06
2019-02-12 6:00,1.83
2019-02-12 7:00,1.51
2019-02-12 8:00,1.19
2019-02-12 9:00,1.01
2019-02-12 10:00,1.01
2019-02-12 11:00,1.12
2019-02-12 12:00,1.28
2019-02-12 13:00,1.54
2019-02-12 14:00,1.8
2019-02-12 15:00,1.97
2019-02-12 16:00,1.96
2019-02-12 17:00,1.83
2019-02-12 18:00,1.63
2019-02-12 19:00,1.37
2019-02-12 20:00,1.08
2019-02-12 21:00,0.84
2019-02-12 22:00,0.8
2019-02-12 23:00,0.91
2019-02-13 0:00,1.06
2019-02-13 1:00,1.28
2019-02-13 2:00,1.57
2019-02-13 3:00,1.85
2019-02-13 4:00,1.99
2019-02-13 5:00,1.95
2019-02-13 6:00,1.81
2019-02-13 7:00,1.58
2019-02-13 8:00,1.31
2019-02-13 9:00,1.06
2019-02-13 10:00,0.91
2019-02-13 11:00,0.91
2019-02-13 12:00,1.01
2019-02-13 13:00,1.16
2019-02-13 14:00,1.4
2019-02-13 15:00,1.62
2019-02-13 16:00,1.74
2019-02-13 17:00,1.77
2019-02-13 18:00,1.71
2019-02-13 19:00,1.56
2019-02-13 20:00,1.32
2019-02-13 21:00,1.07
2019-02-13 22:00,0.88
2019-02-13 23:00,0.82
2019-02-14 0:00,0.87
2019-02-14 1:00,1.03
2019-02-14 2:00,1.27
